County,FIPS code[5],County seat[6],Est.[6],Formed from,Etymology[7],General Law or Charter[8],Population (2020)[9],Area[6],Map
Los Angeles County,37,Los Angeles,1850,original,"The city of Los Angeles, derived from the original Spanish name El Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula (""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")",Charter,10014009,"4,060 sq mi(10,515 km2)",
Madera County,39,Madera,1893,Fresno,"The city of Madera, which was named for the forested landscape; madera is Spanish for ""wood"".",General Law,156255,"2,138 sq mi(5,537 km2)",
Marin County,41,San Rafael,1850,original,"Chief Marin, ""great chief of the tribe Licatiut"" (a branch of the Coast Miwok people)",General Law,262321,"520 sq mi(1,347 km2)",
Mariposa County,43,Mariposa,1850,original,"The city of Mariposa; mariposa is Spanish for ""butterfly"".",General Law,17131,"1,451 sq mi(3,758 km2)",
Mendocino County,45,Ukiah,1850,original,"Antonio de Mendoza, first viceroy of New Spain",General Law,91601,"3,509 sq mi(9,088 km2)",
Merced County,47,Merced,1855,Mariposa,"The city of Merced, derived from the original Spanish name El Río de Nuestra Señora de la Merced (""River of Our Lady of Mercy"")",General Law,281202,"1,929 sq mi(4,996 km2)",
Modoc County,49,Alturas,1874,Siskiyou,The Modoc people,General Law,8700,"3,944 sq mi(10,215 km2)",
Mono County,51,Bridgeport,1861,"Calaveras, Fresno and Mariposa","Mono Lake; derived from Monachi, a Yokut name for native peoples of the Sierra Nevada",General Law,13195,"3,044 sq mi(7,884 km2)",
Monterey County,53,Salinas,1850,original,"Derived from Monterey Bay, which was named for a Viceroy of New Spain, Gaspar de Zúñiga, 5th Count of Monterrey",General Law,439035,"3,322 sq mi(8,604 km2)",
Napa County,55,Napa,1850,original,"Disputed origin; possibly derived from the Patwin word napo, meaning ""home""",General Law,138019,"754 sq mi(1,953 km2)",
Nevada County,57,Nevada City,1851,Yuba,"The phrase Sierra Nevada; nevada is Spanish for ""snow-covered,"" referencing the area's high elevation. The neighboring state was named after the county, which was named after Nevada City.",General Law,102241,"958 sq mi(2,481 km2)",
Orange County,59,Santa Ana,1889,Los Angeles,"Oranges, to illustrate a perception of a region with a semi-tropical atmosphere to those from the eastern parts of the United States",Charter,3186989,"948 sq mi(2,455 km2)",
Placer County,61,Auburn,1851,Sacramento,"Placer mining, a reference to the area being a center of the California Gold Rush",Charter,404739,"1,407 sq mi(3,644 km2)",
Plumas County,63,Quincy,1854,Butte,"The Feather River; plumas is Spanish for ""feathers"".",General Law,19790,"2,554 sq mi(6,615 km2)",
Riverside County,65,Riverside,1893,San Bernardino and San Diego,"The city of Riverside, named for its location on the Santa Ana River",General Law,2418185,"7,208 sq mi(18,669 km2)",
Sacramento County,67,Sacramento,1850,original,"The city of Sacramento, named after the Santísimo Sacramento (Spanish for ""Most Holy Sacrament"")",Charter,1585055,"966 sq mi(2,502 km2)",
San Benito County,69,Hollister,1874,Monterey,Saint Benedict (Benito is a Spanish diminutive of Benedict).,General Law,64209,"1,389 sq mi(3,597 km2)",
San Bernardino County,71,San Bernardino,1853,Los Angeles,"The city of San Bernardino, named after Saint Bernardino of Siena (Spanish for Saint Bernardine)",Charter,2181654,"20,062 sq mi(51,960 km2)",
San Diego County,73,San Diego,1850,original,"The city of San Diego, from Mission San Diego (Spanish for Saint Didacus)",Charter,3298634,"4,204 sq mi(10,888 km2)",
San Francisco,75,San Francisco,1850,original,"The city of San Francisco, from Presidio of San Francisco and Mission San Francisco de Asís, named after Saint Francis of Assisi (Spanish for Saint Francis)",Charter,873965,47 sq mi(122 km2),
San Joaquin County,77,Stockton,1850,original,"Spanish for Saint Joachim, father of the Virgin Mary",General Law,779233,"1,399 sq mi(3,623 km2)",
San Luis Obispo County,79,San Luis Obispo,1850,original,"The city of San Luis Obispo, from Mission San Luis Obispo, named after Saint Louis of Toulouse (Spanish for Saint Louis, the Bishop)",General Law,282424,"3,304 sq mi(8,557 km2)",
San Mateo County,81,Redwood City,1856,San Francisco and Santa Cruz,Spanish for Saint Matthew,Charter,764442,"449 sq mi(1,163 km2)",
Santa Barbara County,83,Santa Barbara,1850,original,"The city of Santa Barbara, from Mission Santa Barbara, (Spanish for Saint Barbara)",General Law,448229,"2,738 sq mi(7,091 km2)",
Santa Clara County,85,San Jose,1850,original,"City of Santa Clara, from Mission Santa Clara de Asís, named for Saint Clare of Assisi (Spanish for Saint Clare)",Charter,1936259,"1,291 sq mi(3,344 km2)",
Santa Cruz County,87,Santa Cruz,1850,original,"The city of Santa Cruz, from Mission Santa Cruz (Spanish for ""holy cross"")",General Law,270861,"446 sq mi(1,155 km2)",
Shasta County,89,Redding,1850,original,Mount Shasta; the indigenous Shasta people,General Law,182155,"3,786 sq mi(9,806 km2)",
Sierra County,91,Downieville,1852,Yuba,"Sierra is Spanish for ""mountain range"", a reference to the area's topography",General Law,3236,"953 sq mi(2,468 km2)",
Siskiyou County,93,Yreka,1852,Shasta and Klamath,Siskiyou Mountains; exact etymology of Siskiyou is disputed.,General Law,44076,"6,287 sq mi(16,283 km2)",
Solano County,95,Fairfield,1850,original,Chief Solano of the Suisunes,General Law,453491,"828 sq mi(2,145 km2)",
Sonoma County,97,Santa Rosa,1850,original,"Exact etymology disputed; probably a Pomo term meaning ""valley of the moon,"" which references a native legend about spiritual activity in the area",General Law,488863,"1,576 sq mi(4,082 km2)",
Stanislaus County,99,Modesto,1854,Tuolumne,"Stanislaus River, named after Estanislao, a native of the area when California was under Spanish and Mexican rule",General Law,552878,"1,495 sq mi(3,872 km2)",
Sutter County,101,Yuba City,1850,original,"John Sutter, a Swiss pioneer of California associated with the California Gold Rush",General Law,99633,"603 sq mi(1,562 km2)",
Tehama County,103,Red Bluff,1856,"Butte, Colusa and Shasta","The city of Tehama, probably a native term describing its location",Charter,65829,"2,951 sq mi(7,643 km2)",
Trinity County,105,Weaverville,1850,original,"The city of Trinidad, Spanish for ""trinity""",General Law,16112,"3,179 sq mi(8,234 km2)",
Tulare County,107,Visalia,1852,Mariposa,"Tulare Lake, which is named after the tule rush (Schoenoplectus acutus) that grew in the marshes and sloughs along its shores",General Law,473117,"4,824 sq mi(12,494 km2)",
Tuolumne County,109,Sonora,1850,original,"Exact etymology disputed; probably a corruption of the native term talmalamne, which means ""cluster of stone wigwams,"" a reference to local cave dwelling tribes",General Law,55620,"2,236 sq mi(5,791 km2)",
Ventura County,111,Ventura,1872,Santa Barbara,"The city of Ventura, derived from Mission San Buenaventura (Spanish for St. Bonaventure)",General Law,843843,"1,846 sq mi(4,781 km2)",
Yolo County,113,Woodland,1850,original,"The Yolan people, a local Native American tribe",General Law,216403,"1,012 sq mi(2,621 km2)",
Yuba County,115,Marysville,1850,original,"Named either by the Maidu people, a local Native American tribe who live on the banks of the Feather and Yuba Rivers, for one of their villages, or by Gabriel Moraga for the wild grapes (Vitis californica) that grow abundantly at the edge of the rivers (uva being Spanish for ""grape"")",General Law,81575,"630 sq mi(1,632 km2)",
